City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
omboue,-1.5746,9.2618,74.59,79,83,8.3,GA,1629773706
saint anthony,45.0205,-93.218,80.2,64,1,1.99,US,1629773120
beloha,-25.1667,45.05,61.92,94,0,4.63,MG,1629773185
ribeira grande,38.5167,-28.7,72.0,100,75,10.36,PT,1629773116
sorland,67.667,12.6934,51.1,83,100,15.88,NO,1629773111
carnarvon,-24.8667,113.6333,73.47,48,0,14.97,AU,1629773706
hobart,-42.8794,147.3294,54.05,61,20,3.0,AU,1629773546
ahuimanu,21.4447,-157.8378,80.31,75,90,13.8,US,1629773189
mayumba,-3.432,10.6554,74.05,85,95,9.15,GA,1629773707
somerton,32.5964,-114.7097,99.5,19,1,9.22,US,1629773707
ocumare del tuy,10.1165,-66.7761,79.61,99,100,2.33,VE,1629773708
talnakh,69.4865,88.3972,55.71,94,100,14.25,RU,1629773113
sao felix do xingu,-6.6447,-51.995,76.21,44,51,1.21,BR,1629773648
vestmannaeyjar,63.4427,-20.2734,55.36,98,100,20.85,IS,1629773708
chuy,-33.6971,-53.4616,51.6,75,100,5.12,UY,1629773158
port augusta,-32.5,137.7667,55.71,43,30,15.12,AU,1629773204
karpogory,64.0019,44.4451,46.11,85,100,4.74,RU,1629773709
punta arenas,-53.15,-70.9167,35.71,75,90,14.97,CL,1629773622
hilo,19.7297,-155.09,80.33,83,90,12.66,US,1629773006
vanimo,-2.6741,141.3028,82.76,74,99,6.11,PG,1629773709
rio grande,-32.035,-52.0986,52.95,75,100,12.46,BR,1629772955
beidao,34.5686,105.8933,76.33,33,46,4.21,CN,1629773709
tasiilaq,65.6145,-37.6368,50.16,82,99,5.44,GL,1629773143
chumikan,54.7183,135.315,56.28,97,100,8.08,RU,1629773710
nacala,-14.5428,40.6728,66.24,97,24,5.39,MZ,1629773709
pevek,69.7008,170.3133,36.34,74,7,7.09,RU,1629773116
rikitea,-23.1203,-134.9692,70.05,62,4,14.27,PF,1629773710
thinadhoo,0.5333,72.9333,81.34,76,20,9.15,MV,1629773711
nikolskoye,59.7035,30.7861,46.29,97,100,2.91,RU,1629773711
ushuaia,-54.8,-68.3,38.86,48,75,17.27,AR,1629772888
rocha,-34.4833,-54.3333,45.46,76,96,1.45,UY,1629773712
havelock,34.8791,-76.9013,82.38,92,89,1.01,US,1629773239
bredasdorp,-34.5322,20.0403,51.12,82,0,3.44,ZA,1629773712
dikson,73.5069,80.5464,40.23,95,100,24.23,RU,1629773130
otukpo,7.1913,8.1329,71.11,99,98,5.46,NG,1629773713
beringovskiy,63.05,179.3167,50.5,93,100,5.88,RU,1629773713
kalmunai,7.4167,81.8167,81.21,71,66,5.93,LK,1629773713
port alfred,-33.5906,26.891,56.5,76,0,11.63,ZA,1629773713
bluff,-46.6,168.3333,63.81,65,100,17.09,NZ,1629773714
georgetown,5.4112,100.3354,80.55,86,40,4.61,MY,1629773597
pisco,-13.7,-76.2167,62.65,77,0,5.75,PE,1629773114
ponta do sol,32.6667,-17.1,75.0,78,2,5.3,PT,1629773714
yoichi,43.2039,140.7703,77.04,76,100,3.31,JP,1629773714
albany,42.6001,-73.9662,70.84,92,94,4.7,US,1629773715
fairbanks,64.8378,-147.7164,55.4,96,90,3.44,US,1629773715
batagay-alyta,67.8006,130.4114,56.43,67,100,2.15,RU,1629773715
